"Date","Public","Member","Group","School","Birthdays","Total","Weather","","","","","","","","","","","","","","","","","",""
"1/28/17","1183","985","20","","92","2,280","Sunny","","","","","","","","","","","","","","","","","",""
"1/27/17","635","484","62","250","","1,431","Sunny","","","","","","","","","","","","","","","","","",""
"1/26/17","356","298","47","199","","900","Sunny","","","","","","","","","","","","","","","","","",""
"1/25/17","460","315","127","348","","1,250","Cloudy","","","","","","","","","","","","","","","","","",""
"1/24/17","442","286","103","89","","920","Sunny","","","","","","","","","","","","","","","","","",""
"1/23/17","0","0","0","0","0","0","Sunny","","","","","","","","","","","","","","","","","",""
"1/22/17","1254","1376","56","","39","2,725","Sunny","","","","","","","","","","","","","","","","","",""
"1/21/17","1281","1174","","","48","2,503","Sunny","","","","","","","","","","","","","","","","","",""
"1/20/17","650","554","30","390","","1,624","Sunny","","","","","","","","","","","","","","","","","",""
"1/19/17","391","274","0","32","0","697","Cloudy","","","","","","","","","","","","","","","","","",""
"1/18/17","455","207","117","215","0","994","Rainy","","","","","","","","","","","","","","","","","",""
"1/17/17","556","258","115","228","","1,157","Rainy","","","","","","","","","","","","","","","","","",""
"1/16/17","0","0","0","0","0","0","Cloudy","","","","","","","","","","","","","","","","","",""
"1/15/17","1118","1110","64","","84","2,376","Sunny","","","","","","","","","","","","","","","","","",""
"1/14/17","1139","1146","59","","163","2,507","Sunny","","","","","","","","","","","","","","","","","",""
"1/13/17","473","398","","152","","1,023","Sunny","","","","","","","","","","","","","","","","","",""
"1/12/17","360","250","40","169","","819","Sunny","","","","","","","","","","","","","","","","","",""
"1/11/17","355","289","0","199","0","843","Sunny","","","","","","","","","","","","","","","","","",""
"1/10/17","456","279","148","0","0","883","Sunny","","","","","","","","","","","","","","","","","",""
"1/9/17","0","0","0","0","0","0","Rainy","","","","","","","","","","","","","","","","","",""
"1/8/17","995","1175","0","0","50","2,220","Rainy","","","","","","","","","","","","","","","","","",""
"1/7/17","963","953","46","0","55","2,017","Cloudy","","","","","","","","","","","","","","","","","",""
"1/6/17","653","329","31","65","0","1,078","Cloudy","","","","","","","","","","","","","","","","","",""
"1/5/17","607","351","28","109","0","1,095","Sunny","","","","","","","","","","","","","","","","","",""
"1/4/17","570","286","28","0","0","884","Sunny","","","","","","","","","","","","","","","","","",""
"1/3/17","655","319","29","0","0","1,003","Sunny","","","","","","","","","","","","","","","","","",""
"1/2/17","1247","902","33","0","0","2,182","Sunny","","","","","","","","","","","","","","","","","",""
"1/1/17","908","559","23","0","0","1,490","Cloudy","","","","","","","","","","","","","","","","","",""
"12/31/16","1065","817","0","0","0","1,882","Snowy","","","","","","","","","","","","","","","","","",""
"12/30/16","1916","1308","39","0","0","3,263","Cloudy","","","","","","","","","","","","","","","","","",""
"12/29/16","3053","1454","144","0","0","4,651","Rainy","","","","","","","","","","","","","","","","","",""
"12/28/16","2589","1374","168","0","0","4,131","Rainy","","","","","","","","","","","","","","","","","",""
"12/27/16","1800","1195","11","0","0","3,006","Rainy","","","","","","","","","","","","","","","","","",""
"12/26/16","797","318","0","0","0","1,115","Snowy","","","","","","","","","","","","","","","","","",""
"12/25/16","0","0","0","0","0","0","Cloudy","","","","","","","","","","","","","","","","","",""
"12/24/16","423","420","0","0","0","843","Cloudy","","","","","","","","","","","","","","","","","",""
"12/23/16","993","729","24","0","0","1,746","Rainy","","","","","","","","","","","","","","","","","",""
"12/22/16","1143","785","118","0","0","2,046","Cloudy","","","","","","","","","","","","","","","","","",""
"12/21/16","1038","912","218","0","-3","2,165","Cloudy","","","","","","","","","","","","","","","","","",""
"12/20/16","1033","861","20","0","0","1,914","Cloudy","","","","","","","","","","","","","","","","","",""
"12/19/16","532","349","0","0","0","881","Cloudy","","","","","","","","","","","","","","","","","",""
"12/18/16","453","390","12","0","0","855","Snowy","","","","","","","","","","","","","","","","","",""
"12/17/16","757","594","34","0","98","1,483","Cloudy","","","","","","","","","","","","","","","","","",""
"12/16/16","492","253","0","124","0","869","Cloudy","","","","","","","","","","","","","","","","","",""
"12/15/16","317","200","12","234","0","763","Cloudy","","","","","","","","","","","","","","","","","",""
"12/14/16","265","194","0","202","0","661","Cloudy","","","","","","","","","","","","","","","","","",""
"12/13/16","300","155","0","672","0","1,127","Cloudy","","","","","","","","","","","","","","","","","",""
"12/12/16","0","0","0","0","0","0","Cloudy","","","","","","","","","","","","","","","","","",""
"12/11/16","610","573","0","0","68","1,251","Rainy","","","","","","","","","","","","","","","","","",""
"12/10/16","644","408","22","0","66","1,140","Cloudy","","","","","","","","","","","","","","","","","",""
"12/9/16","245","122","0","0","0","367","Snowy","","","","","","","","","","","","","","","","","",""
"12/8/16","232","166","0","246","0","644","Cloudy","","","","","","","","","","","","","","","","","",""
"12/7/16","215","163","27","182","0","587","Cloudy","","","","","","","","","","","","","","","","","",""
"12/6/16","246","148","25","270","0","689","Cloudy","","","","","","","","","","","","","","","","","",""
"12/5/16","0","0","0","0","0","0","Snowy","","","","","","","","","","","","","","","","","",""
"12/4/16","631","573","0","0","66","1,270","Cloudy","","","","","","","","","","","","","","","","","",""
"12/3/16","795","544","55","0","110","1,504","Rainy","","","","","","","","","","","","","","","","","",""
"12/2/16","355","252","67","351","0","1,025","Rainy","","","","","","","","","","","","","","","","","",""
"12/1/16","238","193","63","315","0","809","Cloudy","","","","","","","","","","","","","","","","","",""
"11/30/16","259","258","0","768","0","1,285","Rainy","","","","","","","","","","","","","","","","","",""
"11/29/16","290","236","21","332","0","879","Cloudy","","","","","","","","","","","","","","","","","",""
"11/28/16","0","0","0","0","0","0","Cloudy","","","","","","","","","","","","","","","","","",""
"11/27/16","1065","909","0","0","126","2,100","Rainy","","","","","","","","","","","","","","","","","",""
"11/26/16","1410","979","34","0","110","2,533","Rainy","","","","","","","","","","","","","","","","","",""
"11/25/16","853","562","30","162","0","1,607","Cloudy","","","","","","","","","","","","","","","","","",""
"11/24/16","675","377","19","214","0","1,285","Rainy","","","","","","","","","","","","","","","","","",""
"11/23/16","470","220","13","179","0","882","Cloudy","","","","","","","","","","","","","","","","","",""
"11/22/16","554","317","0","212","0","1,083","Rainy","","","","","","","","","","","","","","","","","",""
"11/21/16","0","0","0","0","0","0","Sunny","","","","","","","","","","","","","","","","","",""
"11/20/16","1079","1069","81","0","39","2,268","Cloudy","","","","","","","","","","","","","","","","","",""
"11/19/16","1238","863","57","0","83","2,241","Cloudy","","","","","","","","","","","","","","","","","",""
"11/18/16","492","393","25","171","0","1,081","Cloudy","","","","","","","","","","","","","","","","","",""
"11/17/16","374","230","4","438","0","1,046","Cloudy","","","","","","","","","","","","","","","","","",""
"11/16/16","382","246","0","203","0","831","Rainy","","","","","","","","","","","","","","","","","",""
"11/15/16","339","225","0","81","0","645","Rainy","","","","","","","","","","","","","","","","","",""
"11/14/16","0","0","0","0","0","0","Rainy","","","","","","","","","","","","","","","","","",""
"11/13/16","1490","1580","11","0","105","3,186","Rainy","","","","","","","","","","","","","","","","","",""
"11/12/16","2125","1411","12","0","97","3,645","Cloudy","","","","","","","","","","","","","","","","","",""
"11/11/16","2042","1965","31","0","0","4,038","Rainy","","","","","","","","","","","","","","","","","",""
"11/10/16","795","825","62","64","0","1,746","Sunny","","","","","","","","","","","","","","","","","",""
"11/9/16","438","254","32","148","0","872","Rainy","","","","","","","","","","","","","","","","","",""
"11/8/16","352","256","17","523","0","1,148","Sunny","","","","","","","","","","","","","","","","","",""
"11/7/16","0","0","0","0","0","0","Cloudy","","","","","","","","","","","","","","","","","",""
"11/6/16","1216","1415","13","0","94","2,738","Cloudy","","","","","","","","","","","","","","","","","",""
"11/5/16","1302","1145","21","0","97","2,565","Rainy","","","","","","","","","","","","","","","","","",""
"11/4/16","459","356","21","143","0","979","Cloudy","","","","","","","","","","","","","","","","","",""
"11/3/16","405","237","85","159","0","886","Cloudy","","","","","","","","","","","","","","","","","",""
"11/2/16","373","306","13","256","0","948","Rainy","","","","","","","","","","","","","","","","","",""
"11/1/16","316","248","14","257","0","835","Rainy","","","","","","","","","","","","","","","","","",""
"10/31/16","0","0","0","0","0","0","Rainy","","","","","","","","","","","","","","","","","",""
"10/30/16","615","689","0","0","27","1,331","Cloudy","","","","","","","","","","","","","","","","","",""
"10/29/16","1165","798","0","0","53","2,016","Rainy","","","","","","","","","","","","","","","","","",""
"10/28/16","366","264","53","47","0","730","Cloudy","","","","","","","","","","","","","","","","","",""
"10/27/16","468","226","11","171","0","876","Rainy","","","","","","","","","","","","","","","","","",""
"10/26/16","456","259","13","142","0","870","Rainy","","","","","","","","","","","","","","","","","",""
"10/25/16","492","287","0","332","0","1,111","Rainy","","","","","","","","","","","","","","","","","",""
"10/24/16","0","0","0","0","0","0","Rainy","","","","","","","","","","","","","","","","","",""
"10/23/16","1129","1023","29","0","127","2,308","Cloudy","","","","","","","","","","","","","","","","","",""
"10/22/16","1097","836","132","0","79","2,144","Cloudy","","","","","","","","","","","","","","","","","",""
"10/21/16","1563","1440","93","62","0","3,158","Rainy","","","","","","","","","","","","","","","","","",""
"10/20/16","410","301","28","0","0","739","Cloudy","","","","","","","","","","","","","","","","","",""
"10/19/16","334","226","0","53","0","613","Cloudy","","","","","","","","","","","","","","","","","",""
"10/18/16","479","257","0","203","0","939","Rainy","","","","","","","","","","","","","","","","","",""
"10/17/16","0","0","0","0","0","0","Rainy","","","","","","","","","","","","","","","","","",""
"10/16/16","1152","1304","0","0","79","2,535","Rainy","","","","","","","","","","","","","","","","","",""
"10/15/16","1149","873","0","0","97","2,119","Rainy","","","","","","","","","","","","","","","","","",""
"10/14/16","554","284","30","50","0","918","Rainy","","","","","","","","","","","","","","","","","",""
"10/13/16","533","192","0","85","0","810","Rainy","","","","","","","","","","","","","","","","","",""
"10/12/16","268","162","35","0","0","465","Sunny","","","","","","","","","","","","","","","","","",""
"10/11/16","309","158","10","0","0","477","Sunny","","","","","","","","","","","","","","","","","",""
"10/10/16","688","964","0","0","0","1,652","Cloudy","","","","","","","","","","","","","","","","","",""
"10/9/16","994","1005","14","0","72","2,085","Cloudy","","","","","","","","","","","","","","","","","",""
"10/8/16","1757","1230","33","0","45","3,065","Rainy","","","","","","","","","","","","","","","","","",""
"10/7/16","718","439","0","90","0","1,247","Cloudy","","","","","","","","","","","","","","","","","",""
"10/6/16","443","330","0","151","0","924","Cloudy","","","","","","","","","","","","","","","","","",""
"10/5/16","260","168","0","91","0","519","Sunny","","","","","","","","","","","","","","","","","",""
"10/4/16","570","239","68","53","0","930","Rainy","","","","","","","","","","","","","","","","","",""
"10/2/16","11996","0","0","0","0","11,996","Sunny","","","","","","","","","","","","","","","","","",""
"10/1/16","1174","1176","0","0","0","2,350","Cloudy","","","","","","","","","","","","","","","","","",""
"9/30/16","676","771","34","0","0","1,481","Sunny","","","","","","","","","","","","","","","","","",""
"9/29/16","375","149","0","145","0","669","Sunny","","","","","","","","","","","","","","","","","",""
"9/28/16","306","173","0","56","0","535","Sunny","","","","","","","","","","","","","","","","","",""
"9/27/16","382","164","0","0","0","546","Sunny","","","","","","","","","","","","","","","","","",""
"9/26/16","0","0","0","0","0","0","Sunny","","","","","","","","","","","","","","","","","",""
"9/25/16","1006","1060","0","0","93","2,159","Sunny","","","","","","","","","","","","","","","","","",""
"9/24/16","1087","878","54","0","58","2,077","Sunny","","","","","","","","","","","","","","","","","",""
"9/23/16","879","677","98","75","0","1,729","Rainy","","","","","","","","","","","","","","","","","",""
"9/22/16","292","161","0","0","0","453","Sunny","","","","","","","","","","","","","","","","","",""
"9/21/16","317","173","0","0","0","490","Sunny","","","","","","","","","","","","","","","","","",""
"9/20/16","424","219","12","0","0","655","Sunny","","","","","","","","","","","","","","","","","",""
"9/19/16","0","0","0","0","0","0","Cloudy","","","","","","","","","","","","","","","","","",""
"9/18/16","865","900","0","0","12","1,777","Sunny","","","","","","","","","","","","","","","","","",""
"9/17/16","1714","1154","0","0","59","2,927","Rainy","","","","","","","","","","","","","","","","","",""
"9/16/16","408","254","19","0","0","681","Cloudy","","","","","","","","","","","","","","","","","",""
"9/15/16","272","145","0","0","0","417","Sunny","","","","","","","","","","","","","","","","","",""
"9/14/16","277","154","21","0","0","452","Sunny","","","","","","","","","","","","","","","","","",""
"9/13/16","431","163","0","0","0","594","Sunny","","","","","","","","","","","","","","","","","",""
"9/12/16","0","0","0","0","0","0","Sunny","","","","","","","","","","","","","","","","","",""
"9/11/16","584","517","0","0","56","1,157","Sunny","","","","","","","","","","","","","","","","","",""
"9/10/16","747","588","61","0","81","1,477","Sunny","","","","","","","","","","","","","","","","","",""
"9/9/16","374","324","5","111","0","814","Sunny","","","","","","","","","","","","","","","","","",""
"9/8/16","333","252","0","0","0","585","Sunny","","","","","","","","","","","","","","","","","",""
"9/7/16","500","305","0","0","0","805","Rainy","","","","","","","","","","","","","","","","","",""
"9/6/16","595","470","0","0","0","1,065","Cloudy","","","","","","","","","","","","","","","","","",""
"9/5/16","1533","1300","0","0","0","2,833","Cloudy","","","","","","","","","","","","","","","","","",""
"9/4/16","1544","748","9","0","18","2,319","Sunny","","","","","","","","","","","","","","","","","",""
"9/3/16","2082","1363","20","0","13","3,478","Cloudy","","","","","","","","","","","","","","","","","",""
"9/2/16","1850","1204","65","0","0","3,119","Rainy","","","","","","","","","","","","","","","","","",""
"9/1/16","2217","1069","138","0","0","3,424","Rainy","","","","","","","","","","","","","","","","","",""
"8/31/16","2111","1122","123","0","0","3,356","Rainy","","","","","","","","","","","","","","","","","",""
"8/30/16","1145","650","72","0","0","1,867","Sunny","","","","","","","","","","","","","","","","","",""
"8/29/16","1387","638","280","0","0","2,305","Sunny","","","","","","","","","","","","","","","","","",""
"8/28/16","1534","986","22","0","77","2,619","Rainy","","","","","","","","","","","","","","","","","",""
"8/27/16","1328","675","87","0","44","2,134","Sunny","","","","","","","","","","","","","","","","","",""
"8/26/16","1043","594","59","0","0","1,696","Sunny","","","","","","","","","","","","","","","","","",""
"8/25/16","1307","618","298","0","0","2,223","Sunny","","","","","","","","","","","","","","","","","",""
"8/24/16","1162","468","114","0","0","1,744","Sunny","","","","","","","","","","","","","","","","","",""
"8/23/16","1257","490","171","0","0","1,918","Sunny","","","","","","","","","","","","","","","","","",""
"8/22/16","1550","612","122","0","0","2,284","Sunny","","","","","","","","","","","","","","","","","",""
"8/21/16","1347","693","25","0","0","2,065","Sunny","","","","","","","","","","","","","","","","","",""
"8/20/16","1400","715","128","0","22","2,265","Sunny","","","","","","","","","","","","","","","","","",""
"8/19/16","1352","449","240","0","0","2,041","Sunny","","","","","","","","","","","","","","","","","",""
"8/18/16","1315","564","258","0","0","2,137","Sunny","","","","","","","","","","","","","","","","","",""
"8/17/16","1195","478","193","0","0","1,866","Sunny","","","","","","","","","","","","","","","","","",""
"8/16/16","1210","588","123","0","0","1,921","Sunny","","","","","","","","","","","","","","","","","",""
"8/15/16","1207","407","74","0","0","1,688","Sunny","","","","","","","","","","","","","","","","","",""
"8/14/16","1104","610","34","0","14","1,762","Sunny","","","","","","","","","","","","","","","","","",""
"8/13/16","1316","564","283","0","65","2,228","Sunny","","","","","","","","","","","","","","","","","",""
"8/12/16","1118","420","404","0","0","1,942","Sunny","","","","","","","","","","","","","","","","","",""
"8/11/16","1263","498","338","0","0","2,099","Sunny","","","","","","","","","","","","","","","","","",""
"8/10/16","1399","567","286","0","0","2,252","Sunny","","","","","","","","","","","","","","","","","",""
"8/9/16","2594","917","154","0","0","3,665","Rainy","","","","","","","","","","","","","","","","","",""
"8/8/16","1537","496","139","0","0","2,172","Sunny","","","","","","","","","","","","","","","","","",""
"8/7/16","1575","767","75","0","44","2,461","Cloudy","","","","","","","","","","","","","","","","","",""
"8/6/16","1288","679","21","0","83","2,071","Sunny","","","","","","","","","","","","","","","","","",""
"8/5/16","1223","631","363","0","0","2,217","Sunny","","","","","","","","","","","","","","","","","",""
"8/4/16","1406","643","468","0","0","2,517","Sunny","","","","","","","","","","","","","","","","","",""
"8/3/16","1892","789","401","0","0","3,082","Cloudy","","","","","","","","","","","","","","","","","",""
"8/2/16","2796","896","300","0","0","3,992","Rainy","","","","","","","","","","","","","","","","","",""
"8/1/16","1322","652","42","0","0","2,016","Sunny","","","","","","","","","","","","","","","","","",""
"7/31/16","1359","667","35","0","0","2,061","Sunny","","","","","","","","","","","","","","","","","",""
"7/30/16","1580","735","20","0","25","2,360","Sunny","","","","","","","","","","","","","","","","","",""
"7/29/16","1342","572","351","0","0","2,265","Sunny","","","","","","","","","","","","","","","","","",""
"7/28/16","1472","489","655","0","0","2,616","Sunny","","","","","","","","","","","","","","","","","",""
"7/27/16","1361","536","639","0","0","2,536","Sunny","","","","","","","","","","","","","","","","","",""
"7/26/16","1209","518","627","0","0","2,354","Sunny","","","","","","","","","","","","","","","","","",""
"7/25/16","1322","415","274","0","0","2,011","Sunny","","","","","","","","","","","","","","","","","",""
"7/24/16","1116","594","80","0","35","1,825","Sunny","","","","","","","","","","","","","","","","","",""
"7/23/16","1350","700","179","0","25","2,254","Sunny","","","","","","","","","","","","","","","","","",""
"7/22/16","1348","481","514","0","0","2,343","Sunny","","","","","","","","","","","","","","","","","",""
"7/21/16","1825","483","578","0","0","2,886","Sunny","","","","","","","","","","","","","","","","","",""
"7/20/16","1324","406","384","0","0","2,114","Sunny","","","","","","","","","","","","","","","","","",""
"7/19/16","1555","699","485","0","0","2,739","Cloudy","","","","","","","","","","","","","","","","","",""
"7/18/16","1117","492","177","0","0","1,786","Cloudy","","","","","","","","","","","","","","","","","",""
"7/17/16","1213","651","15","0","36","1,915","Cloudy","","","","","","","","","","","","","","","","","",""
"7/16/16","1547","908","38","0","0","2,493","Sunny","","","","","","","","","","","","","","","","","",""
"7/15/16","1480","600","745","0","0","2,825","Cloudy","","","","","","","","","","","","","","","","","",""
"7/14/16","1433","636","257","0","0","2,326","Cloudy","","","","","","","","","","","","","","","","","",""
"7/13/16","1244","527","781","0","0","2,552","Cloudy","","","","","","","","","","","","","","","","","",""
"7/12/16","1462","622","531","0","0","2,615","Cloudy","","","","","","","","","","","","","","","","","",""
"7/11/16","1295","655","27","0","0","1,977","Cloudy","","","","","","","","","","","","","","","","","",""
"7/10/16","941","748","70","0","0","1,759","Sunny","","","","","","","","","","","","","","","","","",""
"7/9/16","2235","1125","250","0","41","3,651","Sunny","","","","","","","","","","","","","","","","","",""
"7/8/16","1939","935","342","0","0","3,216","Cloudy","","","","","","","","","","","","","","","","","",""
"7/7/16","2543","961","534","0","0","4,038","Rainy","","","","","","","","","","","","","","","","","",""
"7/6/16","929","606","240","0","0","1,775","Sunny","","","","","","","","","","","","","","","","","",""
"7/5/16","1720","867","76","0","0","2,663","Cloudy","","","","","","","","","","","","","","","","","",""
"7/4/16","1206","633","58","0","0","1,897","Cloudy","","","","","","","","","","","","","","","","","",""
"7/3/16","966","611","49","0","12","1,638","Sunny","","","","","","","","","","","","","","","","","",""
"7/2/16","1005","580","10","0","0","1,595","Sunny","","","","","","","","","","","","","","","","","",""
"7/1/16","879","428","0","0","0","1,307","Cloudy","","","","","","","","","","","","","","","","","",""
"6/30/16","1040","851","23","0","0","1,914","Sunny","","","","","","","","","","","","","","","","","",""
"6/29/16","724","425","28","0","0","1,177","Sunny","","","","","","","","","","","","","","","","","",""
"6/28/16","738","323","0","105","0","1,166","Sunny","","","","","","","","","","","","","","","","","",""
"6/27/16","606","284","7","0","0","897","Sunny","","","","","","","","","","","","","","","","","",""
"6/26/16","821","510","47","0","80","1,458","Sunny","","","","","","","","","","","","","","","","","",""
"6/25/16","1139","858","0","0","74","2,071","Sunny","","","","","","","","","","","","","","","","","",""
"6/24/16","1040","578","36","469","0","2,123","Cloudy","","","","","","","","","","","","","","","","","",""
"6/23/16","1298","593","12","218","0","2,121","Rainy","","","","","","","","","","","","","","","","","",""
"6/22/16","626","320","18","364","0","1,328","Cloudy","","","","","","","","","","","","","","","","","",""
"6/21/16","563","296","0","220","0","1,079","Cloudy","","","","","","","","","","","","","","","","","",""
"6/20/16","429","247","0","143","0","819","Sunny","","","","","","","","","","","","","","","","","",""
"6/19/16","1155","1023","0","0","63","2,241","Cloudy","","","","","","","","","","","","","","","","","",""
"6/18/16","1863","1062","47","0","91","3,063","Rainy","","","","","","","","","","","","","","","","","",""
"6/17/16","501","278","0","457","0","1,236","Sunny","","","","","","","","","","","","","","","","","",""
"6/16/16","426","259","0","611","0","1,296","Sunny","","","","","","","","","","","","","","","","","",""
"6/15/16","639","357","24","342","0","1,362","Sunny","","","","","","","","","","","","","","","","","",""
"6/14/16","778","311","0","442","0","1,531","Rainy","","","","","","","","","","","","","","","","","",""
"6/13/16","801","309","11","382","0","1,503","Cloudy","","","","","","","","","","","","","","","","","",""
"6/12/16","827","853","0","0","52","1,732","Sunny","","","","","","","","","","","","","","","","","",""
"6/11/16","1619","1128","30","0","40","2,817","Cloudy","","","","","","","","","","","","","","","","","",""
"6/10/16","775","399","0","331","0","1,505","Cloudy","","","","","","","","","","","","","","","","","",""
"6/9/16","474","268","29","473","0","1,244","Cloudy","","","","","","","","","","","","","","","","","",""
"6/8/16","522","278","59","341","0","1,200","Cloudy","","","","","","","","","","","","","","","","","",""
"6/7/16","369","192","12","549","0","1,122","Sunny","","","","","","","","","","","","","","","","","",""
"6/6/16","376","216","13","351","0","956","Sunny","","","","","","","","","","","","","","","","","",""
"6/5/16","673","506","62","0","84","1,325","Sunny","","","","","","","","","","","","","","","","","",""
"6/4/16","670","388","17","0","55","1,130","Sunny","","","","","","","","","","","","","","","","","",""
"6/3/16","457","351","0","445","0","1,253","Sunny","","","","","","","","","","","","","","","","","",""
"6/2/16","535","359","21","695","0","1,610","Cloudy","","","","","","","","","","","","","","","","","",""
"6/1/16","333","268","0","731","0","1,332","Rainy","","","","","","","","","","","","","","","","","",""
"5/31/16","444","210","12","605","0","1,271","Sunny","","","","","","","","","","","","","","","","","",""
"5/30/16","687","315","11","425","-2","1,436","Sunny","","","","","","","","","","","","","","","","","",""
"5/29/16","1963","1044","0","0","109","3,116","Sunny","","","","","","","","","","","","","","","","","",""
"5/28/16","2298","1315","99","0","91","3,803","Rainy","","","","","","","","","","","","","","","","","",""
"5/27/16","793","344","16","780","0","1,933","Cloudy","","","","","","","","","","","","","","","","","",""
"5/26/16","641","269","8","489","0","1,407","Cloudy","","","","","","","","","","","","","","","","","",""
"5/25/16","553","229","7","484","0","1,273","Sunny","","","","","","","","","","","","","","","","","",""
"5/24/16","650","303","0","308","0","1,261","Cloudy","","","","","","","","","","","","","","","","","",""
"5/23/16","1796","1732","0","0","0","3,528","Cloudy","","","","","","","","","","","","","","","","","",""
"5/22/16","1856","1237","40","0","87","3,220","Cloudy","","","","","","","","","","","","","","","","","",""
"5/21/16","1580","1062","10","17","12","2,681","Cloudy","","","","","","","","","","","","","","","","","",""
"5/20/16","1165","957","32","198","0","2,352","Cloudy","","","","","","","","","","","","","","","","","",""
"5/19/16","626","328","53","720","0","1,727","Cloudy","","","","","","","","","","","","","","","","","",""
"5/18/16","537","267","126","459","0","1,389","Cloudy","","","","","","","","","","","","","","","","","",""
"5/17/16","394","211","20","77","0","702","Sunny","","","","","","","","","","","","","","","","","",""
"5/16/16","530","237","0","509","0","1,276","Cloudy","","","","","","","","","","","","","","","","","",""
"5/15/16","1107","1026","0","21","99","2,253","Cloudy","","","","","","","","","","","","","","","","","",""
"5/14/16","1077","638","24","20","62","1,821","Sunny","","","","","","","","","","","","","","","","","",""
"5/13/16","709","480","48","616","0","1,853","Sunny","","","","","","","","","","","","","","","","","",""
"5/12/16","443","204","10","593","0","1,250","Sunny","","","","","","","","","","","","","","","","","",""
"5/11/16","501","245","0","444","0","1,190","Cloudy","","","","","","","","","","","","","","","","","",""
"5/10/16","355","186","0","646","0","1,187","Sunny","","","","","","","","","","","","","","","","","",""
"5/9/16","401","228","0","434","0","1,063","Sunny","","","","","","","","","","","","","","","","","",""
"5/8/16","880","689","10","0","0","1,579","Sunny","","","","","","","","","","","","","","","","","",""
"5/7/16","912","602","0","35","45","1,594","Sunny","","","","","","","","","","","","","","","","","",""
"5/6/16","591","262","0","0","0","853","Sunny","","","","","","","","","","","","","","","","","",""
"5/5/16","432","214","10","400","0","1,056","Sunny","","","","","","","","","","","","","","","","","",""
"5/4/16","711","311","0","380","0","1,402","Cloudy","","","","","","","","","","","","","","","","","",""
"5/3/16","509","237","8","415","0","1,169","Cloudy","","","","","","","","","","","","","","","","","",""
"5/2/16","506","379","60","338","0","1,283","Sunny","","","","","","","","","","","","","","","","","",""
"5/1/16","921","633","154","0","51","1,759","Sunny","","","","","","","","","","","","","","","","","",""
"4/30/16","1071","764","14","52","44","1,945","Sunny","","","","","","","","","","","","","","","","","",""
"4/29/16","730","366","0","508","0","1,604","Sunny","","","","","","","","","","","","","","","","","",""
"4/28/16","572","240","80","279","0","1,171","Sunny","","","","","","","","","","","","","","","","","",""
"4/27/16","458","198","48","248","0","952","Cloudy","","","","","","","","","","","","","","","","","",""
"4/26/16","478","318","0","496","0","1,292","Sunny","","","","","","","","","","","","","","","","","",""
"4/25/16","594","346","0","335","0","1,275","Sunny","","","","","","","","","","","","","","","","","",""
"4/24/16","1312","962","0","0","105","2,379","Cloudy","","","","","","","","","","","","","","","","","",""
"4/23/16","1569","991","59","0","93","2,712","Sunny","","","","","","","","","","","","","","","","","",""
"4/22/16","901","556","13","717","0","2,187","Rainy","","","","","","","","","","","","","","","","","",""
"4/21/16","531","279","0","476","0","1,286","Sunny","","","","","","","","","","","","","","","","","",""
"4/20/16","416","197","22","226","0","861","Sunny","","","","","","","","","","","","","","","","","",""
"4/19/16","361","170","0","0","0","531","Sunny","","","","","","","","","","","","","","","","","",""
"4/18/16","558","446","16","84","0","1,104","Sunny","","","","","","","","","","","","","","","","","",""
"4/17/16","786","657","20","29","71","1,563","Sunny","","","","","","","","","","","","","","","","","",""
"4/16/16","1004","749","39","0","39","1,831","Sunny","","","","","","","","","","","","","","","","","",""
"4/15/16","921","842","13","124","0","1,900","Cloudy","","","","","","","","","","","","","","","","","",""
"4/14/16","427","309","15","490","0","1,241","Cloudy","","","","","","","","","","","","","","","","","",""
"4/13/16","392","322","0","178","0","892","Cloudy","","","","","","","","","","","","","","","","","",""
"4/12/16","612","342","31","191","0","1,176","Cloudy","","","","","","","","","","","","","","","","","",""
"4/11/16","431","252","0","90","0","773","Cloudy","","","","","","","","","","","","","","","","","",""
"4/10/16","785","676","0","0","64","1,525","Sunny","","","","","","","","","","","","","","","","","",""
"4/9/16","798","525","109","0","83","1,515","Sunny","","","","","","","","","","","","","","","","","",""
"4/8/16","478","239","38","245","0","1,000","Sunny","","","","","","","","","","","","","","","","","",""
"4/7/16","370","186","0","283","0","839","Sunny","","","","","","","","","","","","","","","","","",""
"4/6/16","579","317","27","192","0","1,115","Sunny","","","","","","","","","","","","","","","","","",""
"4/5/16","912","412","21","272","0","1,617","Rainy","","","","","","","","","","","","","","","","","",""
"4/4/16","574","275","24","101","0","974","Sunny","","","","","","","","","","","","","","","","","",""
"4/3/16","746","628","26","0","36","1,436","Sunny","","","","","","","","","","","","","","","","","",""
"4/2/16","930","549","46","0","99","1,624","Sunny","","","","","","","","","","","","","","","","","",""
"4/1/16","563","275","59","80","0","977","Sunny","","","","","","","","","","","","","","","","","",""
"3/31/16","643","308","68","312","0","1,331","Sunny","","","","","","","","","","","","","","","","","",""
"3/30/16","640","267","36","25","0","968","Sunny","","","","","","","","","","","","","","","","","",""
"3/29/16","724","212","0","0","0","936","Sunny","","","","","","","","","","","","","","","","","",""
"3/28/16","1677","903","90","0","0","2,670","Cloudy","","","","","","","","","","","","","","","","","",""
"3/27/16","1821","1057","10","0","0","2,888","Cloudy","","","","","","","","","","","","","","","","","",""
"3/26/16","2108","825","88","0","0","3,021","Cloudy","","","","","","","","","","","","","","","","","",""
